employee_id,first_name,last_name,full_name,mail_id,gender,dob,employment_type,department_id,join_date,location_id
NL-001,Darpan,Kala,Darpan Kala,darpankala@nineleaps.com,Male,1977-11-03,Full-Time,7,2024-04-09,2
NL-002,Rachit,Keer,Rachit Keer,rachitkeer@nineleaps.com,Female,1990-07-27,Full-Time,10,2019-07-22,2
NL-003,Wakeeta,Goyal,Wakeeta Goyal,wakeetagoyal@nineleaps.com,Female,1994-07-19,Full-Time,6,2024-04-22,1
NL-004,Yashasvi,Gara,Yashasvi Gara,yashasvigara@nineleaps.com,Female,1993-07-10,Full-Time,11,2017-02-01,2
NL-005,Aarnav,Kashyap,Aarnav Kashyap,aarnavkashyap@nineleaps.com,Male,1985-07-10,Full-Time,5,2016-07-11,2
NL-006,Utkarsh,Gala,Utkarsh Gala,utkarshgala@nineleaps.com,Female,1976-10-26,Full-Time,2,2020-02-24,2
NL-007,Vasatika,Lata,Vasatika Lata,vasatikalata@nineleaps.com,Male,1997-01-19,Full-Time,8,2017-11-10,1
NL-008,Lavanya,Chada,Lavanya Chada,lavanyachada@nineleaps.com,Female,1993-06-19,Full-Time,2,2022-05-03,1
NL-009,Aarini,Chokshi,Aarini Chokshi,aarinichokshi@nineleaps.com,Male,1982-08-02,Full-Time,2,2024-06-26,2
NL-010,Ekta,Joshi,Ekta Joshi,ektajoshi@nineleaps.com,Male,1976-06-27,Full-Time,11,2020-06-22,2
NL-011,Ekaja,Lalla,Ekaja Lalla,ekajalalla@nineleaps.com,Male,1986-07-27,Full-Time,8,2020-11-05,2
NL-012,Gaurav,Ganesh,Gaurav Ganesh,gauravganesh@nineleaps.com,Female,2001-10-25,Full-Time,1,2021-04-24,2
NL-013,Jairaj,Sahni,Jairaj Sahni,jairajsahni@nineleaps.com,Female,1975-01-07,Full-Time,8,2020-11-06,2
NL-014,Jeevika,Sehgal,Jeevika Sehgal,jeevikasehgal@nineleaps.com,Female,1995-09-18,Full-Time,11,2021-01-21,2
NL-015,Sarthak,Srivastava,Sarthak Srivastava,sarthaksrivastava@nineleaps.com,Male,1984-01-27,Full-Time,12,2018-04-25,1
NL-016,Maanav,Saha,Maanav Saha,maanavsaha@nineleaps.com,Male,1996-12-01,Full-Time,3,2020-12-19,1
NL-017,Diya,Keer,Diya Keer,diyakeer@nineleaps.com,Male,1984-12-14,Full-Time,4,2018-02-21,1
NL-018,Mitali,Dass,Mitali Dass,mitalidass@nineleaps.com,Female,1998-02-28,Full-Time,4,2022-03-08,1
NL-019,Guneet,Balay,Guneet Balay,guneetbalay@nineleaps.com,Male,1989-11-05,Full-Time,7,2016-11-26,2
NL-020,Bakhshi,Chaudhuri,Bakhshi Chaudhuri,bakhshichaudhuri@nineleaps.com,Female,2003-03-08,Full-Time,8,2024-12-06,1
NL-021,Jagat,Jha,Jagat Jha,jagatjha@nineleaps.com,Male,1986-07-10,Full-Time,7,2014-05-03,1
NL-022,Tamanna,Pillay,Tamanna Pillay,tamannapillay@nineleaps.com,Female,1978-08-23,Full-Time,5,2018-11-23,2
NL-023,Dhriti,Mani,Dhriti Mani,dhritimani@nineleaps.com,Female,2003-07-29,Full-Time,6,2016-02-28,2
NL-024,Bhavika,Murthy,Bhavika Murthy,bhavikamurthy@nineleaps.com,Female,1996-02-11,Full-Time,8,2020-08-29,1
NL-025,Matthew,Chaudry,Matthew Chaudry,matthewchaudry@nineleaps.com,Female,1993-09-03,Full-Time,7,2019-01-21,2
NL-026,Zilmil,Baria,Zilmil Baria,zilmilbaria@nineleaps.com,Female,1987-01-25,Full-Time,6,2024-10-15,1
NLI-001,Sachi,Seth,Sachi Seth,sachiseth@nineleaps.com,Male,2001-04-25,Intern,6,2024-03-24,2
NL-027,Oscar,Menon,Oscar Menon,oscarmenon@nineleaps.com,Male,1991-08-16,Full-Time,2,2015-07-03,1
NLI-002,Yasti,Dora,Yasti Dora,yastidora@nineleaps.com,Male,2001-03-12,Intern,7,2018-09-24,2
NLI-003,Andrew,Bajaj,Andrew Bajaj,andrewbajaj@nineleaps.com,Male,2004-06-27,Intern,5,2024-01-13,2
NL-028,Advika,Srivastava,Advika Srivastava,advikasrivastava@nineleaps.com,Male,1990-10-16,Full-Time,1,2014-04-29,1
NL-029,Yoshita,Merchant,Yoshita Merchant,yoshitamerchant@nineleaps.com,Male,1985-09-03,Full-Time,5,2018-08-09,1
NL-030,Wishi,Chopra,Wishi Chopra,wishichopra@nineleaps.com,Male,1997-05-06,Full-Time,5,2016-08-27,2
NL-031,Jagrati,Ahuja,Jagrati Ahuja,jagratiahuja@nineleaps.com,Female,1994-06-30,Full-Time,10,2019-04-01,2
NLI-004,Nimrat,Chawla,Nimrat Chawla,nimratchawla@nineleaps.com,Female,2001-09-27,Intern,12,2016-02-11,1
NL-032,Liam,Bhatti,Liam Bhatti,liambhatti@nineleaps.com,Female,1975-04-02,Full-Time,9,2015-03-31,1
NL-033,Ayush,Pant,Ayush Pant,ayushpant@nineleaps.com,Female,1978-03-16,Full-Time,12,2022-08-08,1
NLI-005,Pavani,Kohli,Pavani Kohli,pavanikohli@nineleaps.com,Female,2003-12-19,Intern,2,2015-11-26,2
NL-034,Zashil,Hans,Zashil Hans,zashilhans@nineleaps.com,Male,2002-04-15,Full-Time,7,2020-04-16,1
NLI-006,Eesha,Verma,Eesha Verma,eeshaverma@nineleaps.com,Male,2003-07-05,Intern,9,2017-08-18,1
NL-035,Urvi,Bhatia,Urvi Bhatia,urvibhatia@nineleaps.com,Female,1982-11-25,Full-Time,1,2014-11-23,1
NL-036,Robert,Tara,Robert Tara,roberttara@nineleaps.com,Male,1979-09-02,Full-Time,3,2015-12-26,2
NL-037,Gavin,Venkataraman,Gavin Venkataraman,gavinvenkataraman@nineleaps.com,Female,2003-11-18,Full-Time,2,2022-05-06,2
NLI-007,Nisha,Sachdeva,Nisha Sachdeva,nishasachdeva@nineleaps.com,Female,2003-11-23,Intern,7,2022-08-05,2
NL-038,Bakhshi,Pau,Bakhshi Pau,bakhshipau@nineleaps.com,Male,2002-09-21,Full-Time,11,2018-10-10,2
NL-039,Saumya,Subramanian,Saumya Subramanian,saumyasubramanian@nineleaps.com,Female,1976-07-31,Full-Time,7,2016-04-09,2
NL-040,Lavanya,Shere,Lavanya Shere,lavanyashere@nineleaps.com,Male,1987-10-05,Full-Time,6,2022-02-25,1
NL-041,Sachi,Morar,Sachi Morar,sachimorar@nineleaps.com,Female,1988-02-20,Full-Time,3,2021-09-19,1
NL-042,Imaran,Rama,Imaran Rama,imaranrama@nineleaps.com,Male,1980-10-03,Full-Time,8,2024-07-21,1
NL-043,Janaki,Gola,Janaki Gola,janakigola@nineleaps.com,Female,1980-12-08,Full-Time,5,2014-06-29,2
NL-044,Kai,Chanda,Kai Chanda,kaichanda@nineleaps.com,Male,1985-08-12,Full-Time,10,2022-12-27,2
NL-045,Zansi,Walla,Zansi Walla,zansiwalla@nineleaps.com,Female,1985-06-05,Full-Time,8,2016-01-18,2
NL-046,Amrita,Khalsa,Amrita Khalsa,amritakhalsa@nineleaps.com,Female,1993-08-20,Full-Time,1,2016-02-18,2
NL-047,Elijah,Ratti,Elijah Ratti,elijahratti@nineleaps.com,Male,1988-06-28,Full-Time,11,2018-12-11,2
NL-048,Qadim,Yohannan,Qadim Yohannan,qadimyohannan@nineleaps.com,Male,2002-05-08,Full-Time,12,2024-07-30,1
NL-049,Dev,Bhargava,Dev Bhargava,devbhargava@nineleaps.com,Female,1987-11-19,Full-Time,10,2021-11-11,1
NL-050,Ranveer,Bandi,Ranveer Bandi,ranveerbandi@nineleaps.com,Female,1992-06-17,Full-Time,6,2020-04-19,2
NL-051,Hamsini,Chand,Hamsini Chand,hamsinichand@nineleaps.com,Male,1975-06-23,Full-Time,3,2024-03-27,1
NL-052,Manan,Johal,Manan Johal,mananjohal@nineleaps.com,Male,1981-06-15,Full-Time,1,2015-04-30,1
NL-053,Vedant,Savant,Vedant Savant,vedantsavant@nineleaps.com,Male,1993-12-22,Full-Time,3,2015-09-20,1
NL-054,Tripti,Chopra,Tripti Chopra,triptichopra@nineleaps.com,Female,1975-09-30,Full-Time,2,2024-07-01,2
NL-055,Manya,Jayaraman,Manya Jayaraman,manyajayaraman@nineleaps.com,Male,2003-12-16,Full-Time,5,2024-08-16,2
NL-056,Zayyan,Wali,Zayyan Wali,zayyanwali@nineleaps.com,Male,1998-02-21,Full-Time,11,2020-11-05,1
NL-057,Samaksh,Dutt,Samaksh Dutt,samakshdutt@nineleaps.com,Female,1991-07-22,Full-Time,12,2019-04-24,2
NL-058,Hardik,Bhandari,Hardik Bhandari,hardikbhandari@nineleaps.com,Male,1997-11-20,Full-Time,2,2019-11-14,2
NL-059,Azad,Randhawa,Azad Randhawa,azadrandhawa@nineleaps.com,Male,1978-10-25,Full-Time,11,2016-12-13,1
NL-060,Manbir,Sodhi,Manbir Sodhi,manbirsodhi@nineleaps.com,Male,1981-04-12,Full-Time,2,2015-10-11,1
NL-061,Yadavi,Rattan,Yadavi Rattan,yadavirattan@nineleaps.com,Female,1981-11-12,Full-Time,2,2016-04-13,2
NL-062,Neha,Kunda,Neha Kunda,nehakunda@nineleaps.com,Male,1994-03-13,Full-Time,1,2016-08-20,1
NL-063,Aarna,Prasad,Aarna Prasad,aarnaprasad@nineleaps.com,Male,1992-04-30,Full-Time,11,2024-08-04,1
NL-064,Wahab,Batra,Wahab Batra,wahabbatra@nineleaps.com,Female,2002-12-05,Full-Time,3,2020-08-31,1
NL-065,Rayaan,Barman,Rayaan Barman,rayaanbarman@nineleaps.com,Male,1979-01-23,Full-Time,1,2024-02-07,2
NL-066,Kai,Vora,Kai Vora,kaivora@nineleaps.com,Female,1996-09-14,Full-Time,1,2017-04-03,1
NLI-008,Maanav,Yogi,Maanav Yogi,maanavyogi@nineleaps.com,Female,2001-05-06,Intern,3,2019-11-16,1
NL-067,Nikita,Sanghvi,Nikita Sanghvi,nikitasanghvi@nineleaps.com,Male,1980-07-11,Full-Time,2,2023-08-15,2
NL-068,Daksh,Khalsa,Daksh Khalsa,dakshkhalsa@nineleaps.com,Male,1991-12-10,Full-Time,8,2015-08-25,2
NL-069,Faras,Barad,Faras Barad,farasbarad@nineleaps.com,Female,2003-07-31,Full-Time,11,2022-07-16,2
NL-070,Robert,Chada,Robert Chada,robertchada@nineleaps.com,Female,2000-10-18,Full-Time,5,2017-08-29,1
NL-071,Madhavi,Sahni,Madhavi Sahni,madhavisahni@nineleaps.com,Male,1988-06-24,Full-Time,5,2014-05-02,2
NL-072,Charles,Sachdev,Charles Sachdev,charlessachdev@nineleaps.com,Male,1987-09-29,Full-Time,10,2020-04-03,2
