employee_id,first_name,last_name,full_name,mail_id,gender,dob,employment_type,department_id,join_date,location_id
NLI-001,Diya,Kanda,Diya Kanda,diyakanda@nineleaps.com,Male,2000-09-03,Intern,5,2016-05-02,1
NL-001,Wahab,Chopra,Wahab Chopra,wahabchopra@nineleaps.com,Female,1998-11-23,Full-Time,6,2024-03-22,2
NLI-002,Gopal,Deep,Gopal Deep,gopaldeep@nineleaps.com,Female,2000-04-20,Intern,10,2017-06-23,2
NL-002,Eta,Saha,Eta Saha,etasaha@nineleaps.com,Female,1983-03-12,Full-Time,2,2016-05-29,1
NL-003,Sanya,Salvi,Sanya Salvi,sanyasalvi@nineleaps.com,Female,1999-06-27,Full-Time,8,2019-11-01,2
NL-004,Vidhi,Deep,Vidhi Deep,vidhideep@nineleaps.com,Female,1995-05-07,Full-Time,12,2024-03-20,1
NL-005,Bhavika,Roy,Bhavika Roy,bhavikaroy@nineleaps.com,Male,1994-06-13,Full-Time,4,2018-03-03,2
NL-006,Ethan,Mand,Ethan Mand,ethanmand@nineleaps.com,Male,1998-12-04,Full-Time,7,2017-07-01,1
NL-007,Balhaar,Sabharwal,Balhaar Sabharwal,balhaarsabharwal@nineleaps.com,Female,1991-03-03,Full-Time,12,2024-03-13,2
NL-008,Kamala,Karpe,Kamala Karpe,kamalakarpe@nineleaps.com,Male,1975-01-09,Full-Time,4,2021-09-05,1
NL-009,Dayita,Handa,Dayita Handa,dayitahanda@nineleaps.com,Male,1993-09-10,Full-Time,12,2021-02-14,2
NL-010,Dipta,Khurana,Dipta Khurana,diptakhurana@nineleaps.com,Female,1989-07-14,Full-Time,5,2019-09-01,1
NL-011,Prisha,Keer,Prisha Keer,prishakeer@nineleaps.com,Female,1989-03-03,Full-Time,12,2024-05-10,1
NL-012,Chandresh,Chander,Chandresh Chander,chandreshchander@nineleaps.com,Male,1989-11-27,Full-Time,12,2020-01-23,1
NL-013,Christopher,Zachariah,Christopher Zachariah,christopherzachariah@nineleaps.com,Female,1983-12-13,Full-Time,2,2021-11-10,2
NL-014,Advik,Banerjee,Advik Banerjee,advikbanerjee@nineleaps.com,Female,1989-12-13,Full-Time,7,2015-03-31,2
NLI-003,Omya,Nori,Omya Nori,omyanori@nineleaps.com,Male,2003-10-03,Intern,11,2018-03-15,2
NL-015,Yoshita,Chokshi,Yoshita Chokshi,yoshitachokshi@nineleaps.com,Female,1994-09-18,Full-Time,12,2019-06-17,2
NL-016,Ekantika,Nagar,Ekantika Nagar,ekantikanagar@nineleaps.com,Male,1983-05-18,Full-Time,4,2020-03-29,2
NL-017,Vedant,Kapur,Vedant Kapur,vedantkapur@nineleaps.com,Female,1985-02-12,Full-Time,6,2018-05-06,1
NL-018,Anay,Andra,Anay Andra,anayandra@nineleaps.com,Female,1985-07-02,Full-Time,4,2016-12-02,2
NL-019,Yoshita,Brahmbhatt,Yoshita Brahmbhatt,yoshitabrahmbhatt@nineleaps.com,Female,1977-06-04,Full-Time,2,2023-10-17,2
NL-020,Brijesh,Murthy,Brijesh Murthy,brijeshmurthy@nineleaps.com,Female,1990-04-30,Full-Time,7,2021-07-06,2
NL-021,Rayaan,Rana,Rayaan Rana,rayaanrana@nineleaps.com,Female,1976-01-28,Full-Time,6,2016-10-20,2
NL-022,Advay,Banerjee,Advay Banerjee,advaybanerjee@nineleaps.com,Female,1999-06-07,Full-Time,9,2018-03-05,2
NLI-004,Madhav,Dhar,Madhav Dhar,madhavdhar@nineleaps.com,Male,2001-03-21,Intern,1,2016-04-28,1
NL-023,Gauri,Wali,Gauri Wali,gauriwali@nineleaps.com,Female,1998-02-12,Full-Time,1,2019-04-19,1
NL-024,Aradhana,Chana,Aradhana Chana,aradhanachana@nineleaps.com,Male,1986-01-25,Full-Time,6,2020-03-05,2
NL-025,Siddharth,Kapur,Siddharth Kapur,siddharthkapur@nineleaps.com,Male,1978-11-13,Full-Time,3,2016-06-02,1
NL-026,Ira,Gopal,Ira Gopal,iragopal@nineleaps.com,Female,1989-08-06,Full-Time,6,2021-08-15,2
NL-027,Vrinda,Bora,Vrinda Bora,vrindabora@nineleaps.com,Male,1985-02-20,Full-Time,1,2015-07-08,1
NL-028,Tanmayi,Chahal,Tanmayi Chahal,tanmayichahal@nineleaps.com,Male,1994-05-25,Full-Time,6,2018-02-10,1
NL-029,Chandran,Chaudhry,Chandran Chaudhry,chandranchaudhry@nineleaps.com,Female,1994-03-04,Full-Time,6,2017-12-22,2
NL-030,Pushti,Master,Pushti Master,pushtimaster@nineleaps.com,Female,1975-08-09,Full-Time,12,2018-09-15,2
NL-031,Rajeshri,Korpal,Rajeshri Korpal,rajeshrikorpal@nineleaps.com,Female,1985-11-19,Full-Time,1,2014-12-03,1
NL-032,Ekbal,Tak,Ekbal Tak,ekbaltak@nineleaps.com,Female,1981-02-10,Full-Time,2,2022-06-13,1
NL-033,Devansh,Salvi,Devansh Salvi,devanshsalvi@nineleaps.com,Male,1990-08-26,Full-Time,8,2021-08-24,2
NL-034,Harita,Khurana,Harita Khurana,haritakhurana@nineleaps.com,Female,1977-01-24,Full-Time,6,2018-02-05,1
NL-035,Quincy,De,Quincy De,quincyde@nineleaps.com,Female,1986-10-02,Full-Time,2,2023-01-01,1
NL-036,Girik,Chakrabarti,Girik Chakrabarti,girikchakrabarti@nineleaps.com,Female,2000-03-16,Full-Time,11,2015-10-11,2
NLI-005,Ekbal,Kakar,Ekbal Kakar,ekbalkakar@nineleaps.com,Male,2002-12-18,Intern,4,2017-04-02,2
NLI-006,Reva,Baral,Reva Baral,revabaral@nineleaps.com,Female,2000-01-20,Intern,4,2017-02-01,1
NL-037,Lajita,Mody,Lajita Mody,lajitamody@nineleaps.com,Female,2002-02-21,Full-Time,10,2016-10-14,1
NL-038,Imaran,Gulati,Imaran Gulati,imarangulati@nineleaps.com,Male,1998-01-13,Full-Time,9,2023-07-25,1
NL-039,Mason,De,Mason De,masonde@nineleaps.com,Female,1983-11-01,Full-Time,12,2015-06-01,1
NL-040,Nathan,Sane,Nathan Sane,nathansane@nineleaps.com,Male,1979-12-06,Full-Time,7,2015-02-03,1
NL-041,Qadim,Walla,Qadim Walla,qadimwalla@nineleaps.com,Female,1995-10-31,Full-Time,2,2015-06-30,1
NLI-007,Vincent,Bir,Vincent Bir,vincentbir@nineleaps.com,Male,2004-03-22,Intern,2,2020-04-27,2
NL-042,Unni,Rajagopal,Unni Rajagopal,unnirajagopal@nineleaps.com,Male,2003-10-24,Full-Time,10,2017-09-15,1
NL-043,Aarush,Barad,Aarush Barad,aarushbarad@nineleaps.com,Female,1986-06-27,Full-Time,10,2016-05-08,1
NLI-008,Kabir,Ramaswamy,Kabir Ramaswamy,kabirramaswamy@nineleaps.com,Female,2002-06-24,Intern,11,2020-03-19,1
NL-044,Abha,Edwin,Abha Edwin,abhaedwin@nineleaps.com,Male,1992-02-22,Full-Time,8,2023-10-07,1
NL-045,Kalpit,Pillai,Kalpit Pillai,kalpitpillai@nineleaps.com,Male,1984-07-06,Full-Time,7,2022-01-17,1
NL-046,Januja,Goswami,Januja Goswami,janujagoswami@nineleaps.com,Male,2003-07-11,Full-Time,11,2023-08-14,2
NL-047,Madhavi,Cheema,Madhavi Cheema,madhavicheema@nineleaps.com,Male,1992-05-04,Full-Time,5,2016-10-25,1
NL-048,Kritika,Kaul,Kritika Kaul,kritikakaul@nineleaps.com,Female,1980-01-19,Full-Time,12,2022-07-14,1
NL-049,Yoshita,Kadakia,Yoshita Kadakia,yoshitakadakia@nineleaps.com,Female,1999-12-08,Full-Time,10,2024-04-29,2
NL-050,Jatin,Borra,Jatin Borra,jatinborra@nineleaps.com,Male,1989-12-25,Full-Time,7,2019-04-01,2
NL-051,Reva,Mangat,Reva Mangat,revamangat@nineleaps.com,Female,1994-11-24,Full-Time,6,2016-10-16,1
NL-052,Bachittar,Chaudhuri,Bachittar Chaudhuri,bachittarchaudhuri@nineleaps.com,Male,1997-07-21,Full-Time,2,2016-12-22,1
NLI-009,Harsh,Ranganathan,Harsh Ranganathan,harshranganathan@nineleaps.com,Male,2002-12-04,Intern,12,2024-07-22,1
NL-053,Yatan,Peri,Yatan Peri,yatanperi@nineleaps.com,Male,1994-05-01,Full-Time,10,2024-06-11,2
NL-054,Siddharth,Ramaswamy,Siddharth Ramaswamy,siddharthramaswamy@nineleaps.com,Male,1994-07-26,Full-Time,5,2017-09-26,2
NL-055,Avi,Mitra,Avi Mitra,avimitra@nineleaps.com,Female,1996-07-18,Full-Time,4,2021-11-08,2
NL-056,Gagan,Krishnamurthy,Gagan Krishnamurthy,gagankrishnamurthy@nineleaps.com,Female,1993-11-16,Full-Time,3,2016-11-05,2
NL-057,Lakshmi,Kibe,Lakshmi Kibe,lakshmikibe@nineleaps.com,Male,1983-06-14,Full-Time,7,2021-07-30,2
NL-058,Anjali,Hayre,Anjali Hayre,anjalihayre@nineleaps.com,Female,1984-08-18,Full-Time,1,2014-10-29,2
NLI-010,Balveer,Goel,Balveer Goel,balveergoel@nineleaps.com,Female,2000-02-19,Intern,11,2019-03-15,2
NL-059,Ishanvi,Batta,Ishanvi Batta,ishanvibatta@nineleaps.com,Female,1977-10-30,Full-Time,3,2016-09-10,2
NL-060,Neelima,Goyal,Neelima Goyal,neelimagoyal@nineleaps.com,Female,1980-11-16,Full-Time,12,2021-01-08,2
NL-061,Vrishti,Chand,Vrishti Chand,vrishtichand@nineleaps.com,Male,1999-07-20,Full-Time,7,2024-12-26,1
NLI-011,Yashasvi,Virk,Yashasvi Virk,yashasvivirk@nineleaps.com,Male,2003-09-08,Intern,1,2018-12-17,2
NL-062,Dakshesh,Memon,Dakshesh Memon,daksheshmemon@nineleaps.com,Female,1996-03-24,Full-Time,1,2023-07-31,1
NL-063,Ryan,Lad,Ryan Lad,ryanlad@nineleaps.com,Male,1986-11-13,Full-Time,2,2014-11-28,1
NL-064,Mekhala,Deshpande,Mekhala Deshpande,mekhaladeshpande@nineleaps.com,Female,1995-10-05,Full-Time,3,2018-09-15,1
NLI-012,Siya,Sahni,Siya Sahni,siyasahni@nineleaps.com,Female,2002-05-06,Intern,7,2020-08-13,1
NL-065,Vinaya,Lala,Vinaya Lala,vinayalala@nineleaps.com,Male,1976-08-17,Full-Time,10,2020-02-22,1
NL-066,Radha,Mani,Radha Mani,radhamani@nineleaps.com,Female,2003-11-20,Full-Time,2,2024-11-16,2
NL-067,Pavani,Madan,Pavani Madan,pavanimadan@nineleaps.com,Female,1989-10-31,Full-Time,9,2020-06-15,1
NL-068,Yochana,Sami,Yochana Sami,yochanasami@nineleaps.com,Female,1995-07-26,Full-Time,11,2017-12-27,1
NL-069,Brinda,Varma,Brinda Varma,brindavarma@nineleaps.com,Female,2002-06-16,Full-Time,6,2023-07-12,1
NL-070,Yashasvi,Bir,Yashasvi Bir,yashasvibir@nineleaps.com,Male,1996-08-30,Full-Time,4,2016-12-03,1
NL-071,Upkaar,Hora,Upkaar Hora,upkaarhora@nineleaps.com,Male,2001-03-14,Full-Time,6,2018-02-28,1
NL-072,Darika,Karan,Darika Karan,darikakaran@nineleaps.com,Male,1980-09-19,Full-Time,4,2016-11-01,1
NL-073,Vihaan,Din,Vihaan Din,vihaandin@nineleaps.com,Female,1997-01-09,Full-Time,5,2021-06-07,1
NL-074,Riya,Pall,Riya Pall,riyapall@nineleaps.com,Female,1984-03-17,Full-Time,6,2018-12-30,2
NL-075,Aarush,Mukherjee,Aarush Mukherjee,aarushmukherjee@nineleaps.com,Female,1989-11-16,Full-Time,12,2017-09-08,2
NL-076,Yagnesh,Sabharwal,Yagnesh Sabharwal,yagneshsabharwal@nineleaps.com,Female,1975-03-26,Full-Time,12,2014-05-14,2
NL-077,Kevin,Mammen,Kevin Mammen,kevinmammen@nineleaps.com,Male,1983-07-21,Full-Time,7,2014-11-11,2
NLI-013,Oni,Narayanan,Oni Narayanan,oninarayanan@nineleaps.com,Male,2004-12-10,Intern,2,2021-02-25,2
NL-078,Tristan,Patil,Tristan Patil,tristanpatil@nineleaps.com,Male,1980-04-15,Full-Time,2,2016-06-24,1
NL-079,Unnati,Chauhan,Unnati Chauhan,unnatichauhan@nineleaps.com,Male,1998-08-25,Full-Time,2,2024-10-09,1
NL-080,Falan,Rattan,Falan Rattan,falanrattan@nineleaps.com,Male,1981-01-12,Full-Time,4,2015-04-06,1
NL-081,Yashoda,Singh,Yashoda Singh,yashodasingh@nineleaps.com,Female,1977-07-06,Full-Time,11,2015-08-01,1
NL-082,Ridhi,Chadha,Ridhi Chadha,ridhichadha@nineleaps.com,Female,1998-04-07,Full-Time,9,2020-02-14,1
NL-083,Yash,Murthy,Yash Murthy,yashmurthy@nineleaps.com,Male,1992-07-24,Full-Time,10,2023-01-10,1
NL-084,Pallavi,Gour,Pallavi Gour,pallavigour@nineleaps.com,Male,1986-01-24,Full-Time,2,2016-07-13,2
NL-085,Krisha,Badami,Krisha Badami,krishabadami@nineleaps.com,Male,1982-10-11,Full-Time,9,2016-09-14,2
NL-086,Qabil,Palan,Qabil Palan,qabilpalan@nineleaps.com,Male,2000-12-21,Full-Time,3,2020-08-28,1
NL-087,Peter,Chanda,Peter Chanda,peterchanda@nineleaps.com,Male,1984-05-04,Full-Time,12,2016-05-30,1
NL-088,Upma,Madan,Upma Madan,upmamadan@nineleaps.com,Female,1980-03-30,Full-Time,1,2017-05-06,1
NL-089,Umang,Nori,Umang Nori,umangnori@nineleaps.com,Female,1994-05-24,Full-Time,9,2014-10-12,1
NL-090,Janani,Sagar,Janani Sagar,jananisagar@nineleaps.com,Male,1994-10-04,Full-Time,8,2024-06-28,2
NL-091,Theodore,Kumer,Theodore Kumer,theodorekumer@nineleaps.com,Female,2000-09-21,Full-Time,8,2020-10-22,1
NL-092,Ekansh,Srivastava,Ekansh Srivastava,ekanshsrivastava@nineleaps.com,Male,1985-11-05,Full-Time,4,2018-02-05,1
NL-093,Gautami,Bhalla,Gautami Bhalla,gautamibhalla@nineleaps.com,Male,1993-01-25,Full-Time,12,2022-12-06,2
NL-094,Rohan,Mishra,Rohan Mishra,rohanmishra@nineleaps.com,Female,1992-12-08,Full-Time,4,2016-06-06,1
NL-095,Gaurav,Oza,Gaurav Oza,gauravoza@nineleaps.com,Male,2002-06-20,Full-Time,8,2024-05-14,1
NLI-014,Ishita,Doctor,Ishita Doctor,ishitadoctor@nineleaps.com,Female,2003-07-23,Intern,1,2014-08-01,1
NL-096,Harinakshi,Raj,Harinakshi Raj,harinakshiraj@nineleaps.com,Male,1987-11-04,Full-Time,11,2021-12-06,2
NL-097,Robert,Lall,Robert Lall,robertlall@nineleaps.com,Male,2000-05-02,Full-Time,4,2018-02-03,2
NL-098,Owen,Suri,Owen Suri,owensuri@nineleaps.com,Male,1975-07-12,Full-Time,5,2023-05-25,2
NLI-015,Xalak,Muni,Xalak Muni,xalakmuni@nineleaps.com,Female,2002-06-12,Intern,8,2018-01-13,1
NL-099,Jai,Dixit,Jai Dixit,jaidixit@nineleaps.com,Male,1990-12-04,Full-Time,7,2020-06-10,1
NL-100,Tanvi,Prakash,Tanvi Prakash,tanviprakash@nineleaps.com,Male,1996-11-28,Full-Time,11,2019-12-30,1
NL-101,Arya,Bhat,Arya Bhat,aryabhat@nineleaps.com,Male,1997-02-11,Full-Time,10,2015-06-09,1
NL-102,Bina,Varty,Bina Varty,binavarty@nineleaps.com,Male,1976-10-13,Full-Time,10,2014-06-20,2
NL-103,Eshana,Saha,Eshana Saha,eshanasaha@nineleaps.com,Male,1979-03-24,Full-Time,1,2014-09-15,1
NL-104,Indira,Ganesh,Indira Ganesh,indiraganesh@nineleaps.com,Female,1982-09-28,Full-Time,5,2021-08-23,2
NLI-016,Dayita,Bobal,Dayita Bobal,dayitabobal@nineleaps.com,Male,2004-06-30,Intern,6,2021-12-16,2
NL-105,Shivani,Bhasin,Shivani Bhasin,shivanibhasin@nineleaps.com,Male,2003-07-22,Full-Time,3,2016-12-22,1
NL-106,Kala,De,Kala De,kalade@nineleaps.com,Male,1976-01-06,Full-Time,11,2019-12-15,2
NLI-017,Bachittar,Pillay,Bachittar Pillay,bachittarpillay@nineleaps.com,Female,2003-05-15,Intern,4,2018-01-11,1
NL-107,Darsh,Sawhney,Darsh Sawhney,darshsawhney@nineleaps.com,Female,1983-12-20,Full-Time,12,2023-06-12,1
NL-108,Jonathan,Wadhwa,Jonathan Wadhwa,jonathanwadhwa@nineleaps.com,Male,1976-04-26,Full-Time,4,2018-01-10,1
NLI-018,Neel,Balay,Neel Balay,neelbalay@nineleaps.com,Female,2000-01-01,Intern,9,2022-06-29,2
NL-109,Christopher,Sankaran,Christopher Sankaran,christophersankaran@nineleaps.com,Female,2001-12-02,Full-Time,9,2021-12-12,2
NL-110,Hitesh,Krish,Hitesh Krish,hiteshkrish@nineleaps.com,Male,1999-12-29,Full-Time,3,2024-07-17,1
NL-111,Luke,Keer,Luke Keer,lukekeer@nineleaps.com,Male,1987-05-30,Full-Time,2,2024-03-20,1
NL-112,Isha,Golla,Isha Golla,ishagolla@nineleaps.com,Female,1981-08-09,Full-Time,10,2017-03-05,2
NL-113,Jagat,Oak,Jagat Oak,jagatoak@nineleaps.com,Female,2003-10-04,Full-Time,6,2014-03-27,1
NL-114,Anmol,Saha,Anmol Saha,anmolsaha@nineleaps.com,Male,1997-02-24,Full-Time,3,2014-06-30,2
NL-115,Lopa,Narasimhan,Lopa Narasimhan,lopanarasimhan@nineleaps.com,Male,1997-04-08,Full-Time,4,2017-01-22,2
NL-116,Amara,Choudhry,Amara Choudhry,amarachoudhry@nineleaps.com,Male,1997-10-29,Full-Time,4,2024-10-29,1
NL-117,Zarna,Wali,Zarna Wali,zarnawali@nineleaps.com,Male,2002-09-12,Full-Time,8,2018-05-23,1
NL-118,Chaman,Warrior,Chaman Warrior,chamanwarrior@nineleaps.com,Female,1990-08-26,Full-Time,2,2020-09-20,1
NL-119,Harsh,Tella,Harsh Tella,harshtella@nineleaps.com,Male,1981-07-02,Full-Time,6,2020-05-29,2
NL-120,Dalaja,Mistry,Dalaja Mistry,dalajamistry@nineleaps.com,Female,1980-01-02,Full-Time,3,2020-10-06,2
NL-121,Falguni,Doshi,Falguni Doshi,falgunidoshi@nineleaps.com,Male,1987-07-13,Full-Time,7,2018-12-12,1
NL-122,Nikita,Bhatnagar,Nikita Bhatnagar,nikitabhatnagar@nineleaps.com,Male,1997-02-06,Full-Time,7,2018-08-27,2
NL-123,Atharv,Kade,Atharv Kade,atharvkade@nineleaps.com,Male,1993-04-14,Full-Time,4,2022-06-02,1
NL-124,Ishaan,Deol,Ishaan Deol,ishaandeol@nineleaps.com,Male,1994-05-05,Full-Time,10,2023-02-11,2
NLI-019,Bishakha,Lata,Bishakha Lata,bishakhalata@nineleaps.com,Female,2003-04-06,Intern,4,2022-12-10,2
NLI-020,Sanaya,Krishnamurthy,Sanaya Krishnamurthy,sanayakrishnamurthy@nineleaps.com,Male,2003-04-20,Intern,5,2020-11-18,1
NL-125,Vrishti,Sood,Vrishti Sood,vrishtisood@nineleaps.com,Female,1978-02-06,Full-Time,10,2014-04-12,2
NL-126,Bhavika,Madan,Bhavika Madan,bhavikamadan@nineleaps.com,Female,1995-05-10,Full-Time,9,2014-04-04,2
NL-127,Sneha,Kalita,Sneha Kalita,snehakalita@nineleaps.com,Male,1993-02-10,Full-Time,3,2018-01-23,2
NL-128,Jai,Srinivas,Jai Srinivas,jaisrinivas@nineleaps.com,Male,1994-06-13,Full-Time,9,2018-01-27,1
NL-129,Pavani,Krishnan,Pavani Krishnan,pavanikrishnan@nineleaps.com,Female,2001-08-27,Full-Time,12,2017-03-22,1
NL-130,Wazir,Loke,Wazir Loke,wazirloke@nineleaps.com,Female,1987-12-06,Full-Time,10,2016-10-25,2
NL-131,Lajita,Mandal,Lajita Mandal,lajitamandal@nineleaps.com,Female,1999-05-07,Full-Time,4,2014-10-13,1
NL-132,Andrew,Jayaraman,Andrew Jayaraman,andrewjayaraman@nineleaps.com,Female,2002-01-05,Full-Time,5,2024-12-08,2
NL-133,Anya,Garde,Anya Garde,anyagarde@nineleaps.com,Female,1998-10-15,Full-Time,9,2020-06-06,1
NL-134,Warinder,Devi,Warinder Devi,warinderdevi@nineleaps.com,Female,1998-02-26,Full-Time,5,2017-01-27,1
NL-135,Ayushman,Dave,Ayushman Dave,ayushmandave@nineleaps.com,Male,2001-11-10,Full-Time,6,2020-08-21,1
NL-136,Faqid,Mutti,Faqid Mutti,faqidmutti@nineleaps.com,Male,1987-09-15,Full-Time,6,2018-08-30,2
NL-137,Baljiwan,Chander,Baljiwan Chander,baljiwanchander@nineleaps.com,Male,1979-03-05,Full-Time,4,2023-09-20,1
NLI-021,Ekantika,Gola,Ekantika Gola,ekantikagola@nineleaps.com,Female,2001-08-23,Intern,10,2024-12-19,1
NL-138,Pranit,Gaba,Pranit Gaba,pranitgaba@nineleaps.com,Female,2002-09-02,Full-Time,11,2022-09-14,2
NL-139,Faras,Raman,Faras Raman,farasraman@nineleaps.com,Male,1994-08-31,Full-Time,10,2023-05-21,1
NLI-022,Omya,Reddy,Omya Reddy,omyareddy@nineleaps.com,Male,2000-07-29,Intern,4,2016-11-11,2
