employee_id,first_name,last_name,full_name,mail_id,gender,dob,employment_type,department_id,join_date,location_id
NL-001,Yashoda,Borde,Yashoda Borde,yashodaborde@nineleaps.com,Male,1980-12-18,Full-Time,6,2024-07-31,2
NL-002,Frederick,Lal,Frederick Lal,fredericklal@nineleaps.com,Female,1975-08-15,Full-Time,3,2017-03-31,2
NL-003,Dalbir,Rajan,Dalbir Rajan,dalbirrajan@nineleaps.com,Female,1999-02-15,Full-Time,3,2020-04-08,2
NL-004,Samuel,Bhavsar,Samuel Bhavsar,samuelbhavsar@nineleaps.com,Female,1975-05-14,Full-Time,7,2022-04-16,1
NL-005,Bakhshi,Prabhu,Bakhshi Prabhu,bakhshiprabhu@nineleaps.com,Male,1988-08-17,Full-Time,5,2020-11-04,1
NL-006,Matthew,Verma,Matthew Verma,matthewverma@nineleaps.com,Male,1976-12-07,Full-Time,12,2015-04-28,2
NL-007,Ati,Chawla,Ati Chawla,atichawla@nineleaps.com,Male,1979-10-28,Full-Time,10,2014-12-07,1
NL-008,Tanmayi,Sama,Tanmayi Sama,tanmayisama@nineleaps.com,Male,1997-12-22,Full-Time,8,2017-10-16,1
NL-009,Yashica,Memon,Yashica Memon,yashicamemon@nineleaps.com,Female,1978-03-16,Full-Time,9,2021-09-22,2
NL-010,Balvan,Sankar,Balvan Sankar,balvansankar@nineleaps.com,Female,1977-07-10,Full-Time,4,2015-09-25,1
NL-011,Pranit,Pingle,Pranit Pingle,pranitpingle@nineleaps.com,Female,1999-01-31,Full-Time,1,2023-05-04,1
NL-012,Charan,Contractor,Charan Contractor,charancontractor@nineleaps.com,Female,1979-07-05,Full-Time,12,2020-09-14,1
NL-013,Ekavir,Chawla,Ekavir Chawla,ekavirchawla@nineleaps.com,Female,2003-10-07,Full-Time,2,2021-06-15,1
NL-014,Vedant,Parsa,Vedant Parsa,vedantparsa@nineleaps.com,Female,1981-08-12,Full-Time,6,2024-01-04,2
NL-015,Ryan,Kakar,Ryan Kakar,ryankakar@nineleaps.com,Male,1975-06-13,Full-Time,9,2017-07-10,1
NL-016,Ishanvi,Ratta,Ishanvi Ratta,ishanviratta@nineleaps.com,Male,2003-01-31,Full-Time,12,2014-11-14,2
NL-017,Kalpit,Dani,Kalpit Dani,kalpitdani@nineleaps.com,Male,1977-12-29,Full-Time,1,2016-02-02,1
NL-018,Ekantika,Chadha,Ekantika Chadha,ekantikachadha@nineleaps.com,Female,1987-10-03,Full-Time,11,2015-04-08,2
NL-019,Gautami,Raghavan,Gautami Raghavan,gautamiraghavan@nineleaps.com,Female,1993-09-08,Full-Time,3,2014-12-11,1
NL-020,Indira,Bir,Indira Bir,indirabir@nineleaps.com,Female,1983-07-29,Full-Time,10,2020-05-15,2
NL-021,Vaishnavi,Kari,Vaishnavi Kari,vaishnavikari@nineleaps.com,Male,1981-12-07,Full-Time,9,2022-06-07,1
NL-022,Nitara,Chopra,Nitara Chopra,nitarachopra@nineleaps.com,Male,2000-01-23,Full-Time,10,2015-05-17,2
NL-023,Lavanya,Venkatesh,Lavanya Venkatesh,lavanyavenkatesh@nineleaps.com,Female,1999-03-12,Full-Time,4,2015-08-14,1
NL-024,Aarush,Tak,Aarush Tak,aarushtak@nineleaps.com,Male,1990-03-02,Full-Time,11,2018-11-04,2
NLI-001,Warjas,Gaba,Warjas Gaba,warjasgaba@nineleaps.com,Female,2001-06-22,Intern,10,2018-06-23,1
NL-025,Gavin,Bakshi,Gavin Bakshi,gavinbakshi@nineleaps.com,Male,1997-12-11,Full-Time,8,2023-01-15,2
